APT_CODE,APT_NAME
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT
LAX,LOS ANGELES INTERNATIONAL AIRPORT
LHR,HEATHROW AIRPORT
ORD,O'HARE INTERNATIONAL AIRPORT
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT
DEN,DENVER INTERNATIONAL AIRPORT
FRA,FRANKFURT INTERNATIONAL AIRPORT
CDG,CHARLES DE GAULLE AIRPORT
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT
LAS,MCCARRAN INTERNATIONAL AIRPORT
AMS,SCHIPHOL AIRPORT
PHX,SKY HARBOR INTERNATIONAL AIRPORT
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT
MCO,ORLANDO INTERNATIONAL AIRPORT
MAD,ADOLFO SUAREZ-BARAJAS AIRPORT
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT
MUC,MUNICH INTERNATIONAL
MIA,MIAMI INTERNATIONAL AIRPORT
CLT,DOUGLAS INTERNATIONAL AIRPORT
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT
FCO,FIUMICINO AIRPORT
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT
YYZ,LESTER B. PEARSON INTL AIRPORT
BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT
MSP,ST PAUL INTERNATIONAL AIRPORT
BWI,BALTIMORE/WASHINGTON INTL AIRPORT
BCN,BARCELONA AIRPORT
DTW,METROPOLITAN WAYNE COUNTY AIRPORT
MDW,MIDWAY INTERNATIONAL AIRPORT
LGA,LAGUARDIA AIRPORT
PHL,PHILADELPHIA INTERNATIONAL AIRPORT
LGW,GATWICK AIRPORT
FLL,FT. LAUDERDALE INTERNATIONAL AIRPORT
SVO,SHEREMETYEVO AIRPORT
DCA,RONALD REAGAN NATIONAL AIRPORT
ORY,ORLY FIELD
DME,DOMODEDOVO AIRPORT
ZRH,ZURICH AIRPORT
TPA,TAMPA INTERNATIONAL AIRPORT
SAN,SAN DIEGO INTERNATIONAL AIRPORT
CPH,KASTRUP AIRPORT
OSL,OSLO AIRPORT
DAL,LOVE FIELD AIRPORT
BRU,BRUSSELS AIRPORT
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT
VIE,VIENNA INTERNATIONAL AIRPORT
IAD,DULLES INTERNATIONAL AIRPORT
DUB,DUBLIN INTERNATIONAL AIRPORT
ARN,ARLANDA AIRPORT
HOU,WILLIAM P. HOBBY AIRPORT
DUS,DUESSELDORF INTERNATIONAL
TXL,TEGEL AIRPORT
YVR,VANCOUVER INTERNATIONAL AIRPORT
PDX,PORTLAND INTERNATIONAL AIRPORT
STL,LAMBERT-ST LOUIS INTERNATIONAL AIRPORT
HNL,HONOLULU INTERNATIONAL AIRPORT
OAK,OAKLAND INTERNATIONAL AIRPORT
STN,STANSTED AIRPORT
LIS,LISBOA AIRPORT
PMI,PALMA MALLORCA AIRPORT
BNA,NASHVILLE INTERNATIONAL AIRPORT
MXP,MALPENSA AIRPORT
MAN,MANCHESTER AIRPORT
ATH,ELEFTHERIOS VENIZELOS AIRPORT
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT
MSY,LOUIS ARMSTRONG INTERNATIONAL AIRPORT
MCI,KANSAS CITY INTERNATIONAL AIRPORT
GVA,GENEVA INTERNATIONAL AIRPORT
HEL,HELSINKI-VANTAA AIRPORT
YUL,PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT
HAM,HAMBURG AIRPORT
YYC,CALGARY INTERNATIONAL AIRPORT
VKO,VNUKOVO AIRPORT
SJC,NORMAN Y. MINETA INTERNATIONAL
SMF,SACRAMENTO INTERNATIONAL AIRPORT
RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT
SNA,JOHN WAYNE AIRPORT
SAT,SAN ANTONIO INTERNATIONAL AIRPORT
LED,PULKOVO AIRPORT
AGP,MALAGA AIRPORT
NCE,COTE D'AZUR AIRPORT
PIT,PITTSBURGH INTERNATIONAL AIRPORT
IND,INDIANAPOLIS INTERNATIONAL AIRPORT
PRG,RUZYNE INTERNATIONAL AIRPORT
CLE,HOPKINS INTERNATIONAL AIRPORT
LTN,LUTON AIRPORT
CMH,JOHN GLENN INTERNATIONAL AIRPORT
RSW,SOUTHWEST FLORIDA INTL AIRPORT
STR,STUTTGART AIRPORT
EDI,EDINBURGH AIRPORT
WAW,FREDERIC CHOPIN AIRPORT
LIN,LINATE AIRPORT
CGN,COLOGNE/BONN AIRPORT
MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT
SJU,LUIS MUNOZ MARIN INTERNATIONAL AIRPORT
BUD,LISZT FERENC INTERNATIONAL AIRPORT
OTP,OTOPENI INTERNATIONAL AIRPORT
BGY,BERGAMO/ORIO AL SERIO AIRPORT
LYS,ST-EXUPERY AIRPORT
ALC,ALICANTE AIRPORT
BHX,BIRMINGHAM AIRPORT
YEG,EDMONTON INTERNATIONAL AIRPORT
MRS,MARSEILLE AIRPORT
VCE,MARCO POLO AIRPORT
ABQ,INTERNATIONAL SUNPORT AIRPORT
TLS,BLAGNAC AIRPORT
LPA,GRAN CANARIA AIRPORT
BDL,BRADLEY INTERNATIONAL AIRPORT
GLA,GLASGOW INTERNATIONAL AIRPORT
JAX,JACKSONVILLE INTERNATIONAL AIRPORT
SXF,SCHOENEFELD AIRPORT
OPO,PORTO AIRPORT
PBI,PALM BEACH INTERNATIONAL AIRPORT
BUR,BOB HOPE AIRPORT
BGO,FLESLAND AIRPORT
OGG,KAHULUI AIRPORT
ANC,TED STEVENS INTERNATIONAL AIRPORT
BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT
CVG,NORTHERN KENTUCKY INTERNATIONAL AIRPORT
ONT,ONTARIO INTERNATIONAL AIRPORT
BLQ,GUGLIELMO MARCONI AIRPORT
CTA,FONTANAROSSA AIRPORT
BSL,EUROAIRPORT SWISS
OKC,WILL ROGERS AIRPORT
OMA,EPPLEY AIRFIELD
CRL,BRUSSELS S. CHARLEROI AIRPORT
TFS,TENERIFE-SUR
RNO,RENO/TAHOE INTERNATIONAL AIRPORT
GOT,LANDVETTER AIRPORT
KBP,BORYSPIL INTERNATIONAL  AIRPORT
SVG,SOLA AIRPORT
NAP,CAPODICHINO AIRPORT
YOW,MACDONALD-CARTIER INTL AIRPORT
TRD,VAERNES AIRPORT
PVD,T.F. GREEN STATE AIRPORT
RIX,RIGA INTERNATIONAL AIRPORT
BRS,BRISTOL AIRPORT
IBZ,IBIZA AIRPORT
BOD,BORDEAUX AIRPORT
HAJ,HANNOVER AIRPORT
LCY,CITY AIRPORT
ELP,EL PASO INTERNATIONAL AIRPORT
SKG,MAKEDONIA AIRPORT
FAO,FARO AIRPORT
MEM,MEMPHIS INTERNATIONAL AIRPORT
TIJ,A.L. RODRIGUEZ INTL AIRPORT
BEG,NIKOLA TESLA AIRPORT
YWG,J.A. RICHARDSON INTL AIRPORT
SIP,SIMFEROPOL INTERNATIONAL AIRPORT
CIA,CIAMPINO AIRPORT
VLC,VALENCIA AIRPORT
SDF,INTERNATIONAL-STANDIFORD FIELD AIRPORT
ACE,LANZAROTE AIRPORT
TUL,TULSA INTERNATIONAL AIRPORT
PMO,PUNTA RAISI AIRPORT
TUS,TUCSON INTERNATIONAL AIRPORT
RIC,RICHMOND INTERNATIONAL AIRPORT
BOI,BOISE AIR TERMINAL (GOWEN FIELD)
YHZ,STANFIELD INTERNATIONAL AIRPORT
GEG,SPOKANE INTERNATIONAL AIRPORT
PSA,GALILEO GALILEI AIRPORT
MLA,LUQA AIRPORT
BHM,SHUTTLESWORTH INTERNATIONAL AIRPORT
LCA,LARNACA AIRPORT
KEF,KEFLAVIK INTERNATIONAL AIRPORT
BIO,BILBAO AIRPORT
CHS,CHARLESTON INTERNATIONAL/AFB
ORF,NORFOLK INTERNATIONAL AIRPORT
AER,SOCHI INTERNATIONAL
NTE,NANTES ATLANTIQUE AIRPORT
SOF,SOFIA AIRPORT
LPL,JOHN LENNON AIRPORT
YTZ,BILLY BISHOP CITY AIRPORT
SVQ,SEVILLA AIRPORT
BVA,BEAUVAIS-TILLE AIRPORT
ALB,ALBANY INTERNATIONAL AIRPORT
BFS,BELFAST INTERNATIONAL AIRPORT
TFN,TENERIFE-NORTE
HER,NIKOS KAZANTZAKIS AIRPORT
KRK,J. PAUL II BALICE INTERNATIONAL AIRPORT
EIN,EINDHOVEN AIRPORT
BRI,PALESE AIRPORT
TRN,CASELLE AIRPORT
FUE,FUERTEVENTURA AIRPORT
NCL,NEWCASTLE INTERNATIONAL AIRPORT
GDN,LECH WALESA AIRPORT
MHT,MANCHESTER-BOSTON REGIONAL AIRPORT
CAG,ELMAS AIRPORT
ABZ,DYCE AIRPORT
ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT
GRR,GERALD R. FORD INTL AIRPORT
EMA,EAST MIDLANDS AIRPORT
NUE,NUREMBERG AIRPORT
GYD,HEYDAR ALIYEV INTERNATIONAL AIRPORT
LBA,LEEDS/BRADFORD AIRPORT
KRR,PASHKOVSKY AIRPORT
VNO,VILNIUS INTERNATIONAL AIRPORT
TOS,TROMSO/LANGNES AIRPORT
ECN,ERCAN AIRPORT
KOA,KEAHOLE AIRPORT
CAK,REGIONAL AIRPORT
ZAG,PLESO AIRPORT
BHD,GEORGE BEST CITY AIRPORT
LUX,LUXEMBOURG AIRPORT
LIT,B. AND H. CLINTON NATIONAL AIRPORT
DSM,DES MOINES INTERNATIONAL AIRPORT
BMA,BROMMA AIRPORT
DAY,JAMES M. COX INTERNATIONAL AIRPORT
LIH,LIHUE AIRPORT
BRE,BREMEN AIRPORT
BOO,BODO AIRPORT
ICT,DWIGHT D. EISENHOWER AIRPORT
MSQ,MINSK INTERNATIONAL
GSP,GREENVILLE-SPARTANBURG INTERNATIONAL AIRPORT
RHO,DIAGORAS AIRPORT
ISP,LONG ISLAND MACARTHUR AIRPORT
FLR,PERETOLA AIRPORT
PWM,PORTLAND INTERNATIONAL JETPORT
LGB,DAUGHERTY FIELD AIRPORT
MAF,MIDLAND INTERNATIONAL AIRPORT
WMI,MODLIN AIRPORT
HHN,HAHN AIRPORT
FNC,MADEIRA AIRPORT
YYT,ST JOHN'S INTERNATIONAL AIRPORT
TLL,LENNART MERI AIRPORT
BLL,BILLUND AIRPORT
MAH,MAHON AIRPORT
SCQ,SANTIAGO DE COMPOSTELA AIRPORT
SYR,HANCOCK INTERNATIONAL AIRPORT
KIV,CHISINAU AIRPORT
TSF,TREVISO/SANT' ANGELO AIRPORT
LEJ,LEIPZIG/HALLE AIRPORT
OLB,COSTA SMERALDA AIRPORT
PSP,PALM SPRINGS INTERNATIONAL AIRPORT
EVN,ZVARTNOTS INTERNATIONAL AIRPORT
MYR,MYRTLE BEACH INTERNATIONAL AIRPORT
SUF,LAMEZIA TERME AIRPORT
SAV,HILTON HEAD INTERNATIONAL AIRPORT
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT
YYJ,VICTORIA INTERNATIONAL AIRPORT
BDS,CASALE AIRPORT
SFB,SANFORD INTERNATIONAL AIRPORT
SOU,SOUTHAMPTON AIRPORT
VRN,VILLAFRANCA AIRPORT
TBS,TBILISI INTERNATIONAL AIRPORT
MMX,STURUP AIRPORT
TIA,RINAS AIRPORT
PNS,PENSACOLA INTERNATIONAL AIRPORT
ROV,ROSTOV AIRPORT
WRO,STRACHOWICE AIRPORT
KUF,KURUMOCH INTERNATIONAL PSC AIRPORT
ORK,CORK INTERNATIONAL AIRPORT
MRV,MINERALNYE VODY AIRPORT
JER,JERSEY AIRPORT
YQB,JEAN LESAGE INTERNATIONAL AIRPORT
KTW,PYRZOWICE AIRPORT
VVO,KNEVICHI AIRPORT
KHV,NOVY AIRPORT
MSN,DANE COUNTY REGIONAL AIRPORT
TYS,MCGHEE TYSON AIRPORT
YLW,KELOWNA INTERNATIONAL AIRPORT
DTM,DORTMUND AIRPORT
DRS,DRESDEN AIRPORT
LBB,PRESTON SMITH INTERNATIONAL AIRPORT
UFA,UFA AIRPORT
SPU,SPLIT AIRPORT
YXE,J.G. DIEFENBAKER INTL AIRPORT
SZG,W. A. MOZART AIRPORT
TRF,SANDEFJORD AIRPORT
NRN,WEEZE AIRPORT
KJA,YEMELYANOVO AIRPORT
NYO,SKAVSTA AIRPORT
CHQ,IOANNIS DASKALOGIANNIS AIRPORT
IKT,IRKUTSK AIRPORT
JNU,JUNEAU INTERNATIONAL AIRPORT
ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT
RTM,ROTTERDAM AIRPORT
KZN,KAZAN INTERNATIONAL AIRPORT
AHO,FERTILIA AIRPORT
MPL,MEDITERRANEE AIRPORT
TJM,ROSHCHINO AIRPORT
FAT,FRESNO YOSEMITE INTERNATIONAL
AAL,AALBORG AIRPORT
FAI,FAIRBANKS INTERNATIONAL AIRPORT
HPN,WESTCHESTER COUNTY AIRPORT
LJU,JOZE PUCNIK AIRPORT
SNN,SHANNON INTERNATIONAL AIRPORT
LIL,LESQUIN AIRPORT
GRO,COSTA BRAVA AIRPORT
KGD,KHRABROVO AIRPORT
YQR,REGINA INTERNATIONAL AIRPORT
CFU,IOANNIS KAPODISTRIAS AIRPORT
TPS,BIRGI AIRPORT
GOA,CRISTOFORO COLOMBO AIRPORT
AJA,NAPOLEON BONAPARTE AIRPORT
DBV,DUBROVNIK AIRPORT
XNA,NORTHWEST ARKANSAS REGIONAL AIRPORT
BTV,BURLINGTON INTERNATIONAL AIRPORT
PIE,ST. PETE-CLEARWATER INTERNATIONAL AIRPORT
SXB,ENTZHEIM AIRPORT
CLJ,NAPOCA AIRPORT
PDL,NORDELA AIRPORT
