APT_CODE,APT_NAME,GOOGLE_NAME,RATING,NB_REVIEW
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,Hartsfield-Jackson Atlanta International Airport,4.1,66767
LAX,LOS ANGELES INTERNATIONAL AIRPORT,Los Angeles International Airport,3.9,55413
LHR,HEATHROW AIRPORT,Heathrow Airport,4.0,62980
ORD,O'HARE INTERNATIONAL AIRPORT,Chicago O'Hare International Airport,4.0,54994
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,Dallas Fort Worth International Airport,4.1,58281
DEN,DENVER INTERNATIONAL AIRPORT,Denver International Airport,4.1,49873
FRA,FRANKFURT INTERNATIONAL AIRPORT,Frankfurt Airport,3.8,75988
CDG,CHARLES DE GAULLE AIRPORT,Paris Charles de Gaulle Airport,3.6,78536
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,John F. Kennedy International Airport,3.9,52314
LAS,MCCARRAN INTERNATIONAL AIRPORT,Harry Reid International Airport,4.2,41510
AMS,SCHIPHOL AIRPORT,Amsterdam Airport Schiphol,3.9,87846
PHX,SKY HARBOR INTERNATIONAL AIRPORT,Phoenix Sky Harbor International Airport,4.3,30297
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,San Francisco International Airport,4.3,33607
MCO,ORLANDO INTERNATIONAL AIRPORT,Orlando International Airport,4.1,58888
MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,Adolfo Suárez Madrid–Barajas Airport,4.1,39070
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,Seattle–Tacoma International Airport,4.0,35957
MUC,MUNICH INTERNATIONAL,Munich International Airport,4.0,43567
MIA,MIAMI INTERNATIONAL AIRPORT,Miami International Airport,3.9,60234
CLT,DOUGLAS INTERNATIONAL AIRPORT,Charlotte Douglas International Airport,3.9,43135
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,George Bush Intercontinental Airport,4.0,36182
FCO,FIUMICINO AIRPORT,Leonardo da Vinci International Airport,4.2,54025
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,Newark Liberty International Airport,3.6,40772
YYZ,LESTER B. PEARSON INTL AIRPORT,Toronto Pearson International Airport,3.7,42655
BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,Boston Logan International Airport,4.1,22718
MSP,ST PAUL INTERNATIONAL AIRPORT,Minneapolis–Saint Paul International Airport,4.3,20014
BWI,BALTIMORE/WASHINGTON INTL AIRPORT,Baltimore/Washington International Airport,4.2,20695
BCN,BARCELONA AIRPORT,Josep Tarradellas Barcelona-El Prat Airport,4.1,58496
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,Detroit Metropolitan Wayne County Airport,4.3,21159
MDW,MIDWAY INTERNATIONAL AIRPORT,Chicago Midway International Airport,3.8,6031
LGA,LAGUARDIA AIRPORT,LaGuardia Airport,4.1,31332
PHL,PHILADELPHIA INTERNATIONAL AIRPORT,Philadelphia International Airport,3.8,24689
LGW,GATWICK AIRPORT,London Gatwick Airport,3.8,30053
FLL,FT. LAUDERDALE INTERNATIONAL AIRPORT,Fort Lauderdale-Hollywood International Airport,4.1,31794
SVO,SHEREMETYEVO AIRPORT,Moscow Sheremetyevo Alexander S. Pushkin International Airport,4.3,39301
DCA,RONALD REAGAN NATIONAL AIRPORT,Ronald Reagan Washington National Airport,4.2,19291
ORY,ORLY FIELD,Paris Orly Airport,3.6,36690
DME,DOMODEDOVO AIRPORT,Moscow Domodedovo Mikhail Lomonosov Airport,4.2,43919
ZRH,ZURICH AIRPORT,Zurich Airport,4.3,31151
TPA,TAMPA INTERNATIONAL AIRPORT,Tampa International Airport,4.6,26593
SAN,SAN DIEGO INTERNATIONAL AIRPORT,San Diego International Airport,4.2,18128
CPH,KASTRUP AIRPORT,Copenhagen Airport,4.1,21419
OSL,OSLO AIRPORT,Oslo lufthavn,4.2,19882
DAL,LOVE FIELD AIRPORT,Dallas Love Field,4.4,14582
BRU,BRUSSELS AIRPORT,Brussels Airport,4.0,32263
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,Salt Lake City International Airport,4.2,21486
VIE,VIENNA INTERNATIONAL AIRPORT,Vienna International Airport,4.2,45788
IAD,DULLES INTERNATIONAL AIRPORT,Dulles International Airport,4.1,22873
DUB,DUBLIN INTERNATIONAL AIRPORT,Dublin Airport,4.0,34926
ARN,ARLANDA AIRPORT,Stockholm Arlanda Airport,3.8,20616
HOU,WILLIAM P. HOBBY AIRPORT,William P. Hobby Airport,4.4,11729
DUS,DUESSELDORF INTERNATIONAL,Duesseldorf Airport,3.6,40206
TXL,TEGEL AIRPORT,Berlin TXL - Urban Tech Republic,4.1,18
YVR,VANCOUVER INTERNATIONAL AIRPORT,Vancouver International Airport,4.3,19704
PDX,PORTLAND INTERNATIONAL AIRPORT,Portland International Airport,4.4,15880
STL,LAMBERT-ST LOUIS INTERNATIONAL AIRPORT,St. Louis Lambert International Airport,4.1,10510
HNL,HONOLULU INTERNATIONAL AIRPORT,Daniel K. Inouye International Airport,3.9,12419
OAK,OAKLAND INTERNATIONAL AIRPORT,Oakland International Airport,4.2,7121
STN,STANSTED AIRPORT,London Stansted Airport,3.3,37469
LIS,LISBOA AIRPORT,Humberto Delgado Airport,3.7,56309
PMI,PALMA MALLORCA AIRPORT,Palma de Mallorca Airport,4.2,38692
BNA,NASHVILLE INTERNATIONAL AIRPORT,Nashville International Airport,4.3,16303
MXP,MALPENSA AIRPORT,Milano Malpensa Airport,3.8,36503
MAN,MANCHESTER AIRPORT,Manchester Airport,3.1,31522
ATH,ELEFTHERIOS VENIZELOS AIRPORT,"Athens International Airport ""Eleftherios Venizelos""",4.3,49870
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,Austin-Bergstrom International Airport,4.1,15526
MSY,LOUIS ARMSTRONG INTERNATIONAL AIRPORT,Louis Armstrong New Orleans International Airport,4.2,14182
MCI,KANSAS CITY INTERNATIONAL AIRPORT,Kansas City International Airport,3.9,11515
GVA,GENEVA INTERNATIONAL AIRPORT,Geneva Airport,3.9,19320
HEL,HELSINKI-VANTAA AIRPORT,Helsinki Airport,4.4,18001
YUL,PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT,Montréal-Pierre Elliott Trudeau International Airport,3.8,18460
HAM,HAMBURG AIRPORT,Hamburg Airport,3.7,21924
YYC,CALGARY INTERNATIONAL AIRPORT,Calgary International Airport,4.0,11987
VKO,VNUKOVO AIRPORT,Vnukovo International Airport,4.2,12235
SJC,NORMAN Y. MINETA INTERNATIONAL,San Jose Mineta International Airport,4.4,8149
SMF,SACRAMENTO INTERNATIONAL AIRPORT,Sacramento International Airport,4.4,10258
RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,Raleigh-Durham International Airport,4.4,11044
SNA,JOHN WAYNE AIRPORT,John Wayne Airport,4.6,8647
SAT,SAN ANTONIO INTERNATIONAL AIRPORT,San Antonio International Airport,4.2,4086
LED,PULKOVO AIRPORT,Pulkovo Airport,4.4,31181
AGP,MALAGA AIRPORT,Málaga-Costa del Sol Airport,4.0,27375
