IATA_CODE,ICAO_CODE,APT_NAME,APT_CAT,FAA_ROLE,STATE,CITY_SERVED
BHM,KBHM,Birmingham–Shuttlesworth International Airport,Commercial service – primary airports,P-S,Alabama,Birmingham
DHN,KDHN,Dothan Regional Airport,Commercial service – primary airports,P-N,Alabama,Dothan
HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),Commercial service – primary airports,P-S,Alabama,Huntsville
MOB,KMOB,Mobile Regional Airport,Commercial service – primary airports,P-N,Alabama,Mobile
MGM,KMGM,Montgomery Regional Airport (Dannelly Field),Commercial service – primary airports,P-N,Alabama,Montgomery
MSL,KMSL,Northwest Alabama Regional Airport,Commercial service – nonprimary airports,CS,Alabama,Muscle Shoals
,KEKY,Bessemer Airport,Reliever airports,R,Alabama,Bessemer
PLR,KPLR,St. Clair County Airport,Reliever airports,R,Alabama,Pell City
,,Abbeville Municipal Airport,General aviation airports,GA,Alabama,Abbeville
,KEET,Shelby County Airport,General aviation airports,GA,Alabama,Alabaster
BFZ,KBFZ,Albertville Regional Airport (Thomas J. Brumlik Field),General aviation airports,GA,Alabama,Albertville
ALX,KALX,Thomas C. Russell Field,General aviation airports,GA,Alabama,Alexander City
AIV,KAIV,George Downer Airport,General aviation airports,GA,Alabama,Aliceville
,,South Alabama Regional Airport (Bill Benton Field),General aviation airports,GA,Alabama,Andalusia / Opp
ANB,KANB,Anniston Regional Airport (was Anniston Metropolitan),General aviation airports,GA,Alabama,Anniston
,,Ashland/Lineville Airport,General aviation airports,GA,Alabama,Ashland / Lineville
,,Atmore Municipal Airport,General aviation airports,GA,Alabama,Atmore
AUO,KAUO,Auburn University Regional Airport (was Auburn-Opelika Robert G. Pitts),General aviation airports,GA,Alabama,Auburn
,,Bay Minette Municipal Airport,General aviation airports,GA,Alabama,Bay Minette
,,Brewton Municipal Airport,General aviation airports,GA,Alabama,Brewton
,,Butler-Choctaw County Airport,General aviation airports,GA,Alabama,Butler
,,Camden Municipal Airport,General aviation airports,GA,Alabama,Camden
,KPYP,Centre-Piedmont-Cherokee County Regional Airport,General aviation airports,GA,Alabama,Centre
,,Bibb County Airport,General aviation airports,GA,Alabama,Centreville
,,Chilton County Airport (was Gragg-Wade Field),General aviation airports,GA,Alabama,Clanton
,,Clayton Municipal Airport,General aviation airports,GA,Alabama,Clayton
,,Courtland Airport (was Lawrence County Airport),General aviation airports,GA,Alabama,Courtland
,KCMD,Cullman Regional Airport (Folsom Field),General aviation airports,GA,Alabama,Cullman
,,Jeremiah Denton Airport (was Dauphin Island Airport),General aviation airports,GA,Alabama,Dauphin Island
DCU,KDCU,Pryor Field Regional Airport,General aviation airports,GA,Alabama,Decatur
,KDYA,Demopolis Regional Airport (was Demopolis Municipal),General aviation airports,GA,Alabama,Demopolis
,,Carl Folsom Airport,General aviation airports,GA,Alabama,Elba
